Worst Time taken to sort Worstresults_datasize_200_mean_3.0_variance_0.25.csv: 4.2128 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_3.0_variance_0.5.csv: 2.7481 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_3.0_variance_0.5.csv: 0.068 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_3.0_variance_0.5.csv: 4.5323 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_3.0_variance_0.75.csv: 2.7862 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_3.0_variance_0.75.csv: 0.0573 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_3.0_variance_0.75.csv: 7.3614 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_1.0_variance_0.25.csv: 59.1884 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.25.csv: 0.3822 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.25.csv: 93.3959 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_1.0_variance_0.5.csv: 62.3433 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.5.csv: 0.3614 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.5.csv: 91.9845 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_1.0_variance_0.75.csv: 58.8083 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.75.csv: 0.2941 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.75.csv: 103.2512 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_2.0_variance_0.25.csv: 50.4068 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.25.csv: 0.2934 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.25.csv: 87.9025 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_2.0_variance_0.5.csv: 54.264 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.5.csv: 0.3439 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.5.csv: 88.3074 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_2.0_variance_0.75.csv: 50.4182 milliseconds
